15.03.2018  14:50:53	SNEM	15:01:37	00:10:44	644	02:07:16	7636
15.03.2018  15:01:37	SNEM	15:04:45	00:03:08	188	02:10:24	7824
15.03.2018  15:04:45	SNEM	15:08:52	00:04:07	247	02:14:31	8071
15.03.2018  15:08:52	SNEM	15:10:28	00:01:36	96	02:16:07	8167
15.03.2018  15:10:28	SNEM	15:13:15	00:02:47	167	02:18:54	8334
15.03.2018  15:13:17	SNEM	15:13:58	00:00:41	41	02:19:35	8375
15.03.2018  15:13:59	SNEM	15:20:37	00:06:38	398	02:26:13	8773
15.03.2018  16:10:31	SNEM	16:12:46	00:02:15	135	02:28:28	8908
15.03.2018  16:12:46	SNEM	16:24:18	00:11:32	692	02:40:00	9600
15.03.2018  16:24:19	SNEM	16:33:41	00:09:22	562	02:49:22	10162
15.03.2018  16:46:59	SNEM	16:52:28	00:05:29	329	02:54:51	10491
15.03.2018  16:52:28	SNEM	16:59:45	00:07:17	437	03:02:08	10928
15.03.2018  16:59:49	SNEM	17:01:18	00:01:29	89	03:03:37	11017
16.03.2018  08:54:56	SNEM	09:39:19	00:44:23	2663	03:48:00	13680
16.03.2018  09:39:19	SNEM	10:07:55	00:28:36	1716	04:16:36	15396
16.03.2018  10:07:56	SNEM	10:20:46	00:12:50	770	04:29:26	16166
16.03.2018  10:20:47	SNEM	10:23:20	00:02:33	153	04:31:59	16319
16.03.2018  12:18:42	SNEM	12:19:30	00:00:48	48	04:32:47	16367
16.03.2018  12:19:30	SNEM	12:21:46	00:02:16	136	04:35:03	16503
16.03.2018  12:21:46	SNEM	12:22:40	00:00:54	54	04:35:57	16557
16.03.2018  12:22:41	SNEM	12:25:11	00:02:30	150	04:38:27	16707
16.03.2018  12:25:12	SNEM	12:27:38	00:02:26	146	04:40:53	16853
16.03.2018  12:27:39	SNEM	12:29:56	00:02:17	137	04:43:10	16990
16.03.2018  12:29:56	SNEM	12:31:30	00:01:34	94	04:44:44	17084
16.03.2018  12:59:32	SNEM	12:59:34	00:00:02	2	04:44:46	17086
16.03.2018  12:59:35	SNEM	13:06:13	00:06:38	398	04:51:24	17484
16.03.2018  13:06:13	SNEM	13:07:01	00:00:48	48	04:52:12	17532
16.03.2018  13:07:01	SNEM	13:15:14	00:08:13	493	05:00:25	18025
16.03.2018  13:15:14	SNEM	13:16:55	00:01:41	101	05:02:06	18126
16.03.2018  13:16:55	SNEM	13:31:52	00:14:57	897	05:17:03	19023
16.03.2018  13:31:54	SNEM	13:34:09	00:02:15	135	05:19:18	19158
16.03.2018  13:34:09	SNEM	13:38:19	00:04:10	250	05:23:28	19408
16.03.2018  13:38:19	SNEM	13:41:07	00:02:48	168	05:26:16	19576
16.03.2018  13:41:07	SNEM	13:41:38	00:00:31	31	05:26:47	19607
16.03.2018  13:41:38	SNEM	13:43:28	00:01:50	110	05:28:37	19717
16.03.2018  13:43:28	SNEM	14:04:02	00:20:34	1234	05:49:11	20951
16.03.2018  14:04:02	SNEM	14:04:38	00:00:36	36	05:49:47	20987
16.03.2018  14:04:38	SNEM	14:11:27	00:06:49	409	05:56:36	21396
16.03.2018  14:11:27	SNEM	14:15:50	00:04:23	263	06:00:59	21659
